city,hotel_description,hotel_facilities,property_name
Jodhpur,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on Christmas,New Years eve and other festive periods. Any such supplements need to be paid at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented on C/in.",Currency Exchange|Doctor on Call|Local Tour / Travel Desk|Major Credit Cards Accepted|Safari|Car Rental|Guide / Sightseeing Service,Bishnoi Village Camp and Resort
Tiruchirappalli,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Business Center |Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|24 Hour Front Desk|Room Service (24 Hours),Breeze Residency
Jaisalmer,The standard check-in time is 12:45 PM and the standard check-out time is 10:45 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly no cancellation,Business Center |Pets Allowed|Power Backup|Express Check-In / Check-Out|Dance Performances (on demand)|Karaoke | Drivers Rest Room|Airport Transfer Free,Camp Royal Paradise
Bangalore,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|Express Check-In / Check-Out|Wake-up Call / Service|Kitchen available (home cook food on request)|Car Rental|Newspapers In Lobby|Parking Facility,Catalyst- L&amp;T South City
Cochin,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is mandatory on arrival,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|24 Hour Front Desk|Internet Access Free,Christville Homestay
Puri,"The standard check-in time is 10:00 AM and the standard check-out time is 08:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly C/in and C/out policy:- The Hotels standard check-in time is 09:00 AM local time. Early check-in is subject to availability.  The Hotels standard check out time is 08:00 AM local time. 50% charges will be applicable until 14:00 hours, and one day charges will be applicable after 14:00 hours. Late check outs will be provided on request subject to availability Compulsory Gala dinner supplement charges on 31st Dec eve @ Rs. 1599/- per person (above 12 yrs) and Rs. 799/- (above 6 yrs) per child need to be paid directly in the hotel at the time of check in.",Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant,Bluelily Beach Resort
Coimbatore,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly It is mandatory for guests to present valid photo identification at the time of check-in. Early check-in or late check-out is subject to availability and may be chargeable by the hotel. The standard check-in time is 12 PM and the standard check-out time is 12 PM.,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Power Backup|Kitchen available (home cook food on request)|Internet Access Free|Room Service (24 Hours),Blue Stones Service Apartments
Delhi,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly WE DONT ALLOW CHILDREN UNDER 15 YEARS OF AGE,Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Internet Access Free|Newspapers In Lobby|Outdoor Parking - Non Secured|Internet Access|Room Service|Fire Safety|CCTV|Fire Exit Signs,BORIBISTA BACKPACKING HOSTEL
Srinagar,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly From 01 Jul - 30 Nov 2016 One night retention 07 days prior to check inn From 01 Apr-30 Jun 2016 One night retention 30 days prior to check inn,Beauty Salon - on charge|Dry Cleaning|Local Tour / Travel Desk|Luggage Storage|Car Rental|Postal / Parcel Services|Room Service (24 Hours)|Air / Rail Booking|Courier Service|Guide / Sightseeing Service,Billoo Palace Houseboat
Rewari,The standard check-in time is 03:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guests(Female occupant with Male) with the Rewari Id will not be entertained. Foreigners must carry passport with valid Visa. Non Resident Indians (NRI's) must carry passport with valid visa or any authentic valid Indian identification ID.,"Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Air-Conditioning - Central|Power Backup|Wake-up Call / Service|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Shopping Drop Facility (on fixed timings)|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Self Check - In|Taxi Services|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Party hall|Air / Rail Booking|RO Water Purification System|Outdoor Parking - Secured|Room Service",Bilberry Hotel
Goa,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly * No chewing of Paan or Gutka in Hotel Premises * Pets not allowed * No Playing very loud music in the room * Minimum 2 night stay,Swimming Pool|Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Library|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Gardens|Wedding Services Facility|Suitable For Children|Pool Table|Veranda|Village Visit ( Chargeable )|Car Rental|Taxi Services|Air / Rail Booking|Guide / Sightseeing Service,Blue Marine Beach Resort
Udaipur,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,,Chunda Palace
Gurgaon,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.  The hotel reserves the right of admission for local residents.,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|RO Water Purification System,Callista-1
Alleppey,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in : 12 noon Check out : 11 am Guests are requested to provide Valid Address ID proof at the time of check in and Foreign Nationals Pass Port,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Power Backup|Internet Access Free|RO Water Purification System|Parking Facility|Room Service|Public Restrooms,Chaandhni Lake View
Ajmer,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances),"Airport Transfer Available / Surcharge|Banquet Facilities|Barbecue Area|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Doorman|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Wedding Services Facility|Wake-up Call / Service|Separate Sitting Area|Conference Facility |Fire Place Available |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Kids Play Zone|Mini Theatre|Campfire / Bon Fire|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD|Parking Facility|Internet Access|Restaurant|CCTV|Stamps and Mailing Facility|Suites",Bijainagar Fort by 1589 Hotels
Kullu,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We respects the privacy of all its customer and business partners. Arrival and Departure policy as below :-  Check in and Check out - 1200 Hours  Early in Check and Late Check out Subjected to availability,Laundry Service Available|Parking Facilities Available|Medical Assistance Available|Suitable For Children|Nature Walk|Food Facility|Room Service|Full Time Operation for All 7 Days,BISHT NIWAS
Manali,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Room Service (24 Hours)|Parking Facility,Budget Cottages Manali
Alleppey,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances.,Lobby|24 Hour Front Desk|Luggage Storage|Doorman|Adjoining Rooms,canal view residency
Ernakulam,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over  above the paid rates as per actual  hotel discretion.",Doctor on Call|Parking Facilities Available|Outdoor Parking - Secured|Parking Facility|Public Restrooms,Cherai Beach Palace
Ooty,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Room Service|First-Aid Kit at Front Desk,Breeze Cottage
Goa,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Mandatory Photo Identity for all the guest who crossed their minority Pancard is not valid as Photo Identity Pets not allowed All pay @ hotel bookings will be confirmed on advance payment basis only,Laundry Service Available|Parking Facilities Available|Gardens|Parking Facility|Room Service,Casa Amigos Holiday Homes
Pune,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we need ID proof at the time of check in. unmarried couples not allowed,Laundry Service Available|Lift / Elevator|Lobby|Front Desk|Locker Facility|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services,Cherry Tree
Mumbai,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|24 Hour Front Desk|Room Service,Central Guest House
Thiruvananthapuram,The standard check-in time is 03:00 PM and the standard check-out time is 03:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 Hrs check in check out .,"Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Welcome Drinks|Power Backup|Audio - Visual Equipment|Catering|Wake-up Call / Service|Porter / Bellhop|Coffee Shop / Cafe|Conference Facility |Fax Machine|Kitchen available (home cook food on request)|Multi - Line Phone|Wheelchair Accessibility - Room|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Taxi Services|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Laptop Available on Hire|Internet / Fax (Reception area only)|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility",Chirag Inn
Ernakulam,The standard check-in time is 02:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Banquet Facilities|Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Multi Cuisine Restaurant |Locker Facility,Brunton Boatyard
Dera Bassi,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin.  This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Front Desk|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,Cassowary Hotel
Ranchi,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly pets are not allowed... Single lady visitor are not allowed to gents guest room and vice versa.,Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Wedding Services Facility|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Fax Machine|Wheelchair Accessibility - Room|Massage Services |Car Rental|Express Laundry|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Baggage Room|Outdoor Parking - Secured|Parking Facility,Chanakya BNR Ranchi
Delhi,"The standard check-in time is 02:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Restrictions(Not Allowed): Loud Music, Pets",,Caravan Home Stay
Shimla,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Charges as given below -  Compulsory Christmas 25th Dec Gala Dinner charges would be Rs. 5000 extra for a couple and Extra person (Above 6 Years) @ Rs. 2500. Compulsory New Year 31st Dec Gala Dinner charges would be Rs. 6000 extra for a couple and Extra person (Above 6 Years) @ Rs. 3000. Stags entry not allowed.,"Airport Transfer Available / Surcharge|Bar / Lounge |Concierge|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Computer Rental|Wake-up Call / Service|Separate Sitting Area|Conference Facility |Smoking Rooms|ATM / Banking|Fax Machine|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Horse Ride ( Chargeable ) |Village Visit ( Chargeable )|Car Rental|Express Laundry|Taxi Services|Board Room| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Electronic Check-Out|Family Room|Room Service (24 Hours)|Parking (Surcharge)|Party hall|Baggage Room|Internet / Fax (Reception area only)|Adjoining Rooms|Internet Access|Room Service|Fire Safety",Bridge View Regency
Manali,The standard check-in time is 12:30 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly BOOKING POLICY: Bookings are confirmed on at least 50% advance of the total reservation amount. The balance of the reservation amount to be made before or at the time of check-in.,Parking Facilities Available|Multi Cuisine Restaurant | Bike on Rent|Campfire / Bon Fire|Outdoor Parking - Non Secured,BHAWANI COTTAGE
Paonta Sahib,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Front Desk|Non Smoking Hotel|Parking Facility|Room Service,Carbery Farms
Jodhpur,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on Christmas,New Years eve and other festive periods. Any such supplements need to be paid at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented on C/in.",Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Internet Access Free|Room Service (24 Hours)|Room Service,Bob Hostel
Goa,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly AS PER GOVERNMENT DIRECTIVES IT IS MANDATORY FOR ALL GUEST TO SHOW THEIR PHOTO ID AT CHECK IN, WHICH CAN BE IN FORM OF PASSPORT AND VISA COPY/ DRIVING LICENSE/ VOTER ID CARD FAILING WHICH THE HOTEL RESERVES THE RIGHT OF REFUSAL.",Airport Transfer Available / Surcharge|Internet Access - Surcharge|Library|Parking Facilities Available|Power Backup|Internet Access Free|Parking Facility,Casa Fredwin Homestay
Srinagar,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Public Restrooms,Bul Bul Houseboats
Coimbatore,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly It is mandatory for guests to present valid photo identification at the time of check-in. Early check-in or late check-out is subject to availability and may be chargeable by the hotel. The standard check-in time is 12 PM and the standard check-out time is 12 PM.,"Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Air-Conditioning - Central|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Catering|Wake-up Call / Service|Conference Facility |Access Via Exterior Corridors|Fax Machine|Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Open Air Restaurant / Dining |Transfers Available|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Board Room|Rooftop Garden|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Party hall|Courier Service|Adjoining Rooms|RO Water Purification System|Airport Transfer Free|Parking Facility|Internet Access",Challenger Residency
Dandeli,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup|Parking Facility|Restaurant|Room Service,Century resorts
Coorg,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No Show, Cancellation charges will be 100 % Cost.  within 6 days of checkin, Cancellation charges will be 1 Night Cost.  on and before 7 days of checkin, Cancellation charges will be Rs. 0 Fixed Cost",Business Center |Doctor on Call|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Gardens|Multi Lingual Staff|Wake-up Call / Service|Extra Person / Child - Share the same room|Car Rental|Internet Access Free|Newspapers In Lobby|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Public Restrooms|Suites,Caveri Residency
Puri,"The standard check-in time is 09:00 AM and the standard check-out time is 08:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on Christmas, New Years eve and other festive periods. Any such supplements need to be paid at the hotel. As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.","Doctor on Call|Internet Access - Surcharge|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Food Facility|Room Service (24 Hours)|Parking Facility",Chandan Lodge
Goa,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Wake-up Call / Service|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk,Casa Melhor Candolim 1 BHK Appartment
Raipur,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances 1.   not allowed unmarried couple 2.   not allowed local person 3.   not allowed room for drinking and gambling porpose. 4.   allow married couple if they show both i.d proof.,Concierge|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk,Bhalla Dormitory Hotel
Chennai,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates , extra supplement will be charged over and above the paid rates as per actual and hotel discretion",Gift Shop |Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Spa On Site - Chargeable|24 Hour Front Desk|Power Backup|Express Check-In / Check-Out|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Kitchen available (home cook food on request)|Veranda|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Express Laundry|Food Facility| Drivers Rest Room|Internet Access Free|Room Service (24 Hours)| Cook Services|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|CCTV|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms|Security at All Hotel Entrances,Chandran Hyline
Sonipat,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Wake-up Call / Service|Nature Walk|Veranda|Outdoor Parking - Secured|Parking Facility|Room Service|Full Time Operation for All 7 Days,Bright Guest House
Kinnaur,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Doorman|Food Facility|Adjoining Rooms|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,Birma Cottage
Goa,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Swimming Pool|Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Catering|Wake-up Call / Service|Boating|Veranda| Bike on Rent|Car Rental|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,Casa Almeida Guest House
Kota,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel Policies - Check in -1200PM Check out - 12:00 PM Alcohol Policy- Alcoholic beverage service is restricted to those 21 years or older (with valid identification).,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,Bhainsrorgarh Fort Hotel- 50 kms from Kota
Goa,The standard check-in time is 07:00 AM and the standard check-out time is 07:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Government ID cards are mandatory during the time of check in.,Multi Cuisine Restaurant |Gardens|Internet Access Free|Outdoor Parking - Secured|Parking Facility,CAMRON GUEST HOUSE
